instance,gap
X-n101-k25,7.8105
X-n106-k14,3.1902
X-n110-k13,6.6929
X-n115-k10,3.3341
X-n120-k6,8.9334
X-n125-k30,4.8759
X-n129-k18,9.5473
X-n134-k13,20.6028
X-n139-k10,13.3848
X-n143-k7,10.5223
X-n148-k46,7.2961
X-n153-k22,8.9114
X-n157-k13,3.0754
X-n162-k11,12.5195
X-n167-k10,12.1516
X-n172-k51,11.3535
X-n176-k26,6.0173
X-n181-k23,2.7220
X-n186-k15,7.5047
X-n190-k8,6.8257
X-n195-k51,9.0899
X-n200-k36,4.5478
X-n204-k19,14.0557
X-n209-k16,8.9216
X-n214-k11,15.8530
X-n219-k73,1.0179
X-n223-k34,11.1779
X-n228-k23,11.0869
X-n233-k16,18.3099
X-n237-k14,7.4957
X-n242-k48,6.3576
X-n247-k50,4.0457
X-n251-k28,5.1779
X-n256-k16,8.9601
X-n261-k13,13.5665
X-n266-k58,4.4092
X-n270-k35,6.7751
X-n275-k28,5.2389
X-n280-k17,12.7093
X-n284-k15,13.2031
X-n289-k60,4.4330
X-n294-k50,9.8810
X-n298-k31,20.5924
